prompt,observation.state,action,timestamp,index,episode_index,frame_index,task_index,observation.image.top_rgb,observation.image.right_rgb,observation.image.left_rgb
fold the garment on the table,"[-1.2365046739578247, -1.688497543334961, 1.4919660091400146, 1.0524005889892578, -0.08488346636295319, -0.011819977313280106, 1.2362107038497925, -1.6885000467300415, 1.4919681549072266, 1.0524005889892578, -0.08488551527261734, -0.011819668114185333]","[0.012210122309625149, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.0,67959,200,0,0,./sample_episode_images/episode_200/top/frame_008229.jpg,./sample_episode_images/episode_200/right/frame_000000.jpg,./sample_episode_images/episode_200/left/frame_008229.jpg
fold the garment on the table,"[-1.1300597190856934, -1.6988500356674194, 1.4922715425491333, 1.0813754796981812, -0.09464265406131744, -0.04824531450867653, 1.1301320791244507, -1.6977386474609375, 1.491241693496704, 1.0843605995178223, -0.03526133671402931, -0.04955020546913147]","[0.013646607287228107, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.03333333507180214,67960,200,1,0,./sample_episode_images/episode_200/top/frame_008230.jpg,./sample_episode_images/episode_200/right/frame_000001.jpg,./sample_episode_images/episode_200/left/frame_008230.jpg
fold the garment on the table,"[-1.0189433097839355, -1.7034165859222412, 1.4989416599273682, 1.1046817302703857, -0.10240478813648224, -0.07461381703615189, 1.0190155506134033, -1.7013717889785767, 1.4974027872085571, 1.1108434200286865, 0.0013903903309255838, -0.07697245478630066]","[0.009337152354419231, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12091054767370224, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.06666667014360428,67961,200,2,0,./sample_episode_images/episode_200/top/frame_008231.jpg,./sample_episode_images/episode_200/right/frame_000002.jpg,./sample_episode_images/episode_200/left/frame_008231.jpg
fold the garment on the table,"[-0.907825767993927, -1.705106258392334, 1.5072708129882812, 1.1223219633102417, -0.10758784413337708, -0.09363671392202377, 0.9079024791717529, -1.702301263809204, 1.5056266784667969, 1.130829930305481, 0.02777244709432125, -0.09675698727369308]","[0.012210122309625149, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.10000000149011612,67962,200,3,0,./sample_episode_images/episode_200/top/frame_008232.jpg,./sample_episode_images/episode_200/right/frame_000003.jpg,./sample_episode_images/episode_200/left/frame_008232.jpg
fold the garment on the table,"[-0.796708881855011, -1.7056758403778076, 1.514684796333313, 1.1353347301483154, -0.11172045022249222, -0.10734878480434418, 0.7967923879623413, -1.7022982835769653, 1.5130654573440552, 1.145547866821289, 0.04676494002342224, -0.11101838946342468]","[0.013646607287228107, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.13333334028720856,67963,200,4,0,./sample_episode_images/episode_200/top/frame_008233.jpg,./sample_episode_images/episode_200/right/frame_000004.jpg,./sample_episode_images/episode_200/left/frame_008233.jpg
fold the garment on the table,"[-0.6855916976928711, -1.7059814929962158, 1.5202133655548096, 1.1447043418884277, -0.11469775438308716, -0.11722464114427567, 0.6856834888458252, -1.7022019624710083, 1.5186201333999634, 1.156139850616455, 0.06043850630521774, -0.12128976732492447]","[0.015083092264831066, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.1666666716337204,67964,200,5,0,./sample_episode_images/episode_200/top/frame_008234.jpg,./sample_episode_images/episode_200/right/frame_000005.jpg,./sample_episode_images/episode_200/left/frame_008234.jpg
fold the garment on the table,"[-0.5744743347167969, -1.706351399421692, 1.5238033533096313, 1.1513062715530396, -0.11684127151966095, -0.12433242052793503, 0.5745757818222046, -1.7023046016693115, 1.5221973657608032, 1.1636067628860474, 0.07028298825025558, -0.12868191301822662]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.03244440257549286, -1.704451560974121, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.20000000298023224,67965,200,6,0,./sample_episode_images/episode_200/top/frame_008235.jpg,./sample_episode_images/episode_200/right/frame_000006.jpg,./sample_episode_images/episode_200/left/frame_008235.jpg
fold the garment on the table,"[-0.46335697174072266, -1.706846833229065, 1.525816798210144, 1.1558736562728882, -0.11838444322347641, -0.1294451355934143, 0.4634692370891571, -1.702629804611206, 1.5241619348526, 1.1687816381454468, 0.07737056910991669, -0.13399888575077057]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.23333333432674408,67966,200,7,0,./sample_episode_images/episode_200/top/frame_008236.jpg,./sample_episode_images/episode_200/right/frame_000007.jpg,./sample_episode_images/episode_200/left/frame_008236.jpg
fold the garment on the table,"[-0.3522394597530365, -1.7074207067489624, 1.526725172996521, 1.158989429473877, -0.11949525773525238, -0.13312141597270966, 0.3524130582809448, -1.702772617340088, 1.5249425172805786, 1.1722999811172485, 0.08247871696949005, -0.13782024383544922]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.2666666805744171,67967,200,8,0,./sample_episode_images/episode_200/top/frame_008237.jpg,./sample_episode_images/episode_200/right/frame_000008.jpg,./sample_episode_images/episode_200/left/frame_008237.jpg
fold the garment on the table,"[-0.24559946358203888, -1.7079943418502808, 1.5269570350646973, 1.161048173904419, -0.12039531767368317, -0.13575519621372223, 0.2542634606361389, -1.702986478805542, 1.5250942707061768, 1.1748017072677612, 0.08631858229637146, -0.140557661652565]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.30000001192092896,67968,200,9,0,./sample_episode_images/episode_200/top/frame_008238.jpg,./sample_episode_images/episode_200/right/frame_000009.jpg,./sample_episode_images/episode_200/left/frame_008238.jpg
